Название Магазина,Номер телефона,Адрес 
Lorena,+7 (926) 813-52-76,"119261, Ленинский просп., 70/11"
Уютная Мебель для Вас,"+7 (916) 418-00-39, +7 (926) 365-94-17","Симферопольский бул., 11"
Перетяжка и обивка мягкой мебели,+7 (495) 066-12-35,"Московская обл., Реутов, ул. Победы, 1, стр. 1"
Мастерская Оптима,"+7 (926) 626-30-88, +7 (985) 991-57-19","Москва, Алтуфьевское ш., 79д"
ДомКМ,"+7 (495) 150-06-40, +7 (926) 588-31-95, +7 (926) 627-62-27","143966, ул. Победы, 1, Реутов"
МК Интерьер,"+7 (495) 791-74-44, 8 (800) 500-53-90, +7 (495) 215-11-02, +7 (495) 540-40-33, +7 (495) 791-45-02, +7 (495) 791-77-66, +7 (495) 791-53-53","Московская обл., Реутов г., просп. Юбилейный, 30/2"
Светлогоры,"+7 (499) 394-23-04, +7 (915) 254-74-81","Москва, Варшавское ш., 122а"
Эмист,"+7 (495) 315-62-08, +7 (495) 762-29-10","Россия, Москва, Варшавское шоссе, 132"
Рокко Мебель,+7 (495) 724-32-01,"121596, ул. Горбунова, 2, стр. 3"
Нет названия,Нет номера,Нет адресса
Кухни Анонс,"+7 (495) 730-55-30, +7 (495) 379-06-95, +7 (499) 746-56-02","109439, Волгоградский просп., 136"
Корпусная мебель Александрия,+7 (495) 966-23-90,"107497, Иркутская ул., 11, корп. 1"
Вся Мебель,"+7 (916) 694-31-29, +7 (499) 408-42-34","107143, 1-й Иртышский пр., 6"
Amg Mobili,"+7 (495) 789-78-01, +7 (966) 323-77-33, +7 (903) 589-78-01","МКАД, 2-й километр, 2, Москва"
Столярная мастерская мебели из массива,+7 (968) 838-39-50,"Россия, Москва, Армавирская улица, 9"
Классика,"+7 (495) 507-44-01, +7 (495) 440-53-41, +7 (495) 440-57-19","Москва, Можайское ш., 22"
Планета Мебели,+7 (916) 071-10-83,"Москва, Тополевая аллея, 10"
Нет названия,Нет номера,Нет адресса
Интернет-магазин Qnit.ru,8 (800) 200-69-60,"Россия, Москва, поселение Внуковское, Боровское шоссе, 28-й километр, вл2Ас3"
Папа Марио,"+7 (495) 532-42-76, +7 (901) 500-67-77","Варшавское шоссе, 21-й километр, с26, Москва"
Мебельвил,+7 (495) 003-25-49,"Москва, Кавказский бул., 35/2, корп.2"
Мастерские медведевых,8 (800) 200-02-27,"127238, Ильменский пр., 1, стр. 2"
Лига мебели,+7 (926) 716-65-31,"Москва, ул. Годовикова, 2а"
MdWood. Store,+7 (499) 130-83-03,"121354, Витебская ул., 9, стр. 14"
Comfort Style,+7 (499) 994-43-83,"111673, Суздальская ул., 10, корп. 2"
4Кухни.ру,+7 (495) 740-61-44,"Москва, ул. Черняховского, 4а"
Ricci Decor Limited,"8 (800) 550-36-56, +7 (495) 741-95-38","117587, Кировоградская ул., 11, корп. 1"
Lwi,+7 (968) 947-14-12,"Москва, ул. Марии Поливановой, 9, стр. 1, эт. 1"
Мебельная фабрика Триана,+7 (499) 938-63-26,"117342, ул. Бутлерова, 17"
Office-Kreslo.ru,"+7 (495) 550-30-71, +7 (499) 550-30-71","Московская обл., Реутов, ул. Фабричная, 12"
Интернет-магазин Sunfield.ru,+7 (495) 255-22-70,"Московская обл., Реутов г., ул. Победы, 9"
Avanti мебельный мастер,"+7 (968) 538-77-88, +7 (966) 119-63-63","Россия, Московская область, Реутов, Носовихинское шоссе, вл.4"
Аве Декор,+7 (495) 740-20-31,"123181, ул. Кулакова, 1, корп. 1"
Ноев Ковчег,"+7 (964) 795-13-82, +7 (925) 020-84-52","119619, Производственная ул., 23, стр. 7"
Планета Мебели,"+7 (495) 411-41-02, +7 (926) 513-34-25, +7 (496) 463-19-15","Москва, Рязанский просп., 105, стр. 12"
КухниСити,+7 (495) 369-33-38,"127560, ул. Пришвина, 26"
Ardos мебель,+7 (915) 329-23-71,"Москва, Алтуфьевское ш., 24, корп.1, ТЦ Мебель России"
Вуд Мэйкер,"+7 (495) 664-96-32, +7 (929) 638-79-73","Московская обл., Одинцовский р-н, Заречье пос., ул. Торговая, стр. 2, ТЦ Элитстрой, эт. 3"
Муромские Кровати,"+7 (499) 380-83-82, +7 (999) 710-91-38","Москва, ул. Изумрудная, 52"
Parcobello,"8 (800) 777-82-50, +7 (495) 703-46-86","125438, Автомоторная ул., 4А, стр. 21"
Woodbro,+7 (499) 350-15-40,"121357, Верейская ул., 29, стр. 55А"
VIP-Диван,"+7 (925) 702-27-52, +7 (916) 270-87-57","Староватутинский пр., 12"
С-Лайн,+7 (926) 138-05-85,"Россия, Москва, Палехская улица, 11"
Столярная мастерская винтажных зеркал и мебели See-U,+7 (969) 118-39-37,"Россия, Москва, Дорожная улица, 3к1с2"
МСК-кухни,"+7 (495) 151-25-95, +7 (909) 321-41-38","Россия, Москва, улица Крылатские Холмы, 7к2"
ARLine,"+7 (495) 956-92-43, +7 (495) 580-61-94, +7 (495) 956-92-50, +7 (499) 490-02-69","127562, ул. Хачатуряна, 12, корп. 2"
Обновление мебели,+7 (495) 210-08-62,"Россия, Москва, Ижорская улица, 8с2"
Кухнивиза,+7 (495) 134-34-29,"Москва, Мячковский бул., 13"
Sleepnation.ru,+7 (499) 391-45-99,"Москва, просп. Мира, 110/2"
Мебелиум,+7 (495) 740-31-89,"115404, 1-я Стекольная ул., 7, стр. 7"
Мебельный интернет-магазин Таволини,+7 (499) 391-18-98,"Россия, Москва, Лосиноостровская улица, 30Ас15"
Квинтон,+7 (495) 325-02-11,"115516, Кавказский бул., 51, стр. 10"
Интернет-магазин Formul.ru,"+7 (495) 181-55-81, +7 (495) 776-44-85, +7 (985) 776-44-85","Россия, Москва, Ярославское шоссе, 54"
Спектор-М,+7 (985) 200-22-33,"Москва, ул. Новокосинская, 22"
Став Мебель,"+7 (495) 924-44-01, +7 (903) 649-06-03, 8 (800) 222-14-52, 8 (800) 222-14-52, 8 (800) 222-14-52, 8 (800) 222-14-52","Москва, Варшавское ш., 28а, стр. 2"
Фабрика кухни Акммос,"8 (495) 162-80-26, +7 (495) 162-80-26, 8 (495) 966-23-90","Россия, Москва, Большая Тульская улица, 19"
Аксиома мебель на заказ,+7 (905) 742-53-47,"Московская обл., Одинцовский р-н, Заречье пос., ул. Торговая, стр. 2, ТЦ ЭлитСтройматериалы, эт. 2"
Салон кухонь на заказ Миррера,+7 (495) 104-69-44,"Москва, ул. Миклухо-Маклая, 28а"
Зодиак-мебель,+7 (495) 642-50-91,"Русаковская ул., 31"
Сверхновая,+7 (495) 720-89-36,"123290, 2-я Магистральная ул., 14А"
Мастерская эксклюзивной мебели,"+7 (965) 356-64-80, +7 (926) 164-26-98","Москва, ул. Илимская, 1, корп.2"
Нет названия,Нет номера,Нет адресса
Реутова артель Образ,"+7 (499) 375-03-80, +7 (926) 805-76-57","Реутов, просп. Юбилейный, 9"
Эридан - ателье мебели,"+7 (495) 294-10-82, +7 (903) 139-69-03","Москва, Сигнальный пр-д, 18"
UniSound,+7 (495) 749-63-24,"город Москва, 7-я Кожуховская улица, 20а"
Высокие интерьеры,+7 (495) 120-07-90,"Москва, Ленинский просп., 61/1"
Нольте Кухни,+7 (499) 766-08-59,"119146, Фрунзенская наб., 30"
Shoplte.ru,+7 (495) 329-66-13,"115547, Загорьевский пр., 3, корп. 3"
Злата,"+7 (499) 713-22-96, +7 (925) 505-21-33","115583, ул. Генерала Белова, 35"
Нет названия,Нет номера,Нет адресса
Кухни Lab,+7 (495) 125-11-29,"Москва, ул. 5-я Кожуховская, 12"
Сар-Мебель,"+7 (495) 777-42-54, +7 (903) 722-50-60","127282, Чермянский пр., 5, стр. 8"
Грис Де Лин,"+7 (495) 223-24-47, +7 (926) 324-95-68","129344, Енисейская ул., 1, стр. 8"
Домики ЛуЛу,+7 (495) 767-69-68,"Москва, ул. Смирновская, 25"
FormaTown,+7 (925) 526-91-15,"105484, 16-я Парковая ул., 30, стр. 3"
Мастерская Handcrafted Adirondack Furniture,"+7 (499) 409-16-12, +7 (499) 499-05-18","Россия, Москва, улица Академика Глушко, 8"
Кбмт-Мебель,"+7 (499) 343-98-03, +7 (915) 466-00-60","Россия, Москва, Россошанский проезд, 3"
Legion Md,+7 (905) 516-41-11,"108850, ул. Самуила Маршака, 14"
Кроватник.рф,+7 (968) 946-87-06,"2-я Карпатская ул., 4"
Калина Мебель,+7 (495) 222-94-42,"117519, Кировоградская ул., 22"
Диваны Тут!,"+7 (495) 215-01-76, +7 (495) 215-07-13","Россия, Москва, Инновационный центр Сколково, Луговая улица, 1"
Роникон,"+7 (495) 789-43-41, +7 (926) 244-13-15","Москва, ул. Старокачаловская, 5"
"Промто, торгово-производственное предприятие",8 (800) 550-70-32,"117628, ул. Грина, 40"
МебельТорг,+7 (925) 382-52-02,"Россия, Москва, Новомосковский административный округ, Московский, улица Никитина, 16"
Ренесанс,+7 (926) 439-36-38,"117623, 1-я Мелитопольская ул., 8"
Официальный дилер фабрики Turri в Москве,+7 (495) 776-62-11,"119048, ул. Ефремова, 10с1к4/5"
Ювита-м,+7 (499) 391-78-33,"Россия, Москва, Профсоюзная улица"
Мебельная фабрика Оливамебель,"+7 (905) 515-59-27, +7 (495) 797-08-41","117519, Кировоградская ул., 15"
Мебель Легко,"+7 (495) 998-99-03, +7 (985) 998-99-03","Московская обл., Московский г., ул. Радужная, 1"
Нелл’Интерно,+7 (499) 241-50-30,"121099, Карманицкий пер., 10"
F+мебель,+7 (929) 681-94-70,"Москва, Россошанский пр-д, 4, корп.3"
Компания Гранд Фасад,+7 (495) 664-98-87,"Россия, Москва, поселение Внуковское, Боровское шоссе, 28-й километр, вл2Ас1"
Нота Мебель,"+7 (925) 755-94-77, +7 (499) 393-32-11, +7 (925) 504-89-79, +7 (495) 504-89-79","23, корп. 2А, жилой комплекс Бутово Парк, рабочий посёлок Бутово"
Мебельное ателье ЭКО-Формат,"+7 (499) 112-09-47, 8 (800) 707-01-47","Москва, ул. Новаторов, 10, корп.1"
Кухни Белоруссии,+7 (495) 517-75-15,"Москва, ул. Говорова, 9, корп.14"
Кухни на заказ в Москве,+7 (925) 051-47-03,"Москва, ул. Обручева, 34/63, стр. 1, ТЦ Мебель ВОХ пав. 27"
La Banana,+7 (495) 755-46-27,"Россия, Москва, Инновационный центр Сколково, Луговая улица, 1"
Мебельная фурнитура Gtv-меридиан,+7 (495) 649-30-46,"Москва, МКАД, 41-й километр, внешняя сторона, к6/6"
Мистер Шкаф-Купе,+7 (499) 110-50-03,"Москва, пл. Вокзальная, 5"
Igk contract furniture bureau,+7 (495) 777-79-26,"город Москва, Кутузовский проспект, 36ст3, подъезд 5"
Ruskamenka.ru - товары для бани и дома,+7 (495) 925-00-36,"Москва, ул. Орджоникидзе, 11, оф. 101"
OKmebelOK,8 (800) 302-11-04,"Москва, Боровское ш., 51"
Столовдом,+7 (499) 648-11-06,"Россия, Москва, Профсоюзная улица, 9"
Мебельный салон Komplexmebel,"+7 (495) 723-05-44, +7 (495) 724-39-34","Россия, Москва, посёлок Коммунарка, улица Липовый Парк, вл1с1"
ТопКухни,+7 (937) 444-84-53,"117647, Профсоюзная ул., 109, корп. 2"
Студия Loft & Grunge,+7 (495) 722-66-55,"123317, Пресненская наб., 8, стр. 1"
Сенатор-стиль,"+7 (915) 124-07-82, +7 (495) 730-51-98","121108, Кастанаевская ул., 54, корп. 3"
Юнион,+7 (495) 221-45-65,"121351, Молодогвардейская ул., 57"
Horeca Line,"8 (800) 550-57-20, +7 (499) 394-59-00","119602, ул. Мичуринский Проспект, Олимпийская Деревня, 3, корп. 1"
Триглав-Мебель,+7 (499) 677-24-23,"Москва, Нахимовский просп., 22"
Аллант,"+7 (964) 518-36-42, +7 (926) 160-32-10","Москва, Киевское ш., 22-й км, БП Румянцево, Мебель Park вход №5, №6, эт. 2, сектор А-4"
Дизайн студия Пазл,"+7 (495) 543-64-42, +7 (495) 604-41-63","Россия, Москва, Молодогвардейская улица, 58с7"
Сейфы. VIP - Сейфы с Отделкой Деревом,+7 (499) 390-73-72,"Россия, Москва, поселение Московский, Киевское шоссе, 22-й километр, дв4с1кА"
Нет названия,Нет номера,Нет адресса
Лит-мебель,+7 (495) 255-42-06,"Москва, ул. Профсоюзная, 3"
Мебель Бушерон,+7 (925) 206-11-12,"МКАД, 47-й километр, внутренняя сторона, стр. 21"
Роникон,+7 (495) 789-43-41,"Москва, Вернадского просп., 39"
Дом мебели Скай,+7 (495) 215-09-13,"Москва, Сумской пр-д, 23"
"Decorinca - Дизайнерская мебель, предметы интерьера, декора",+7 (926) 563-85-97,"Москва, ул. 1-я Горловская, 4, стр. 4"
Студия комфорта № 1,"+7 (926) 888-63-04, +7 (905) 788-27-78","Россия, Москва, МКАД, 33-й километр, с10"
Рестомаркет,+7 (495) 744-65-30,"Россия, Москва, Южный административный округ, район Чертаново Северное, 2к202"
Нет названия,Нет номера,Нет адресса
Альтрум,+7 (499) 755-73-62,"129281, Енисейская ул., 46, корп. 2"
Зов Трейд,"+7 (916) 522-89-25, +7 (925) 211-50-83","Россия, Москва, Кутузовский проспект, 43"
Mr.Doors,"8 (800) 500-22-11, +7 (495) 968-07-34, +7 (495) 795-13-04","119334, 5-й Донской пр., 23"
Noks+,+7 (985) 180-91-01,"Московская обл., Одинцовский муниципальный р-н, Одинцово г., микрорайон Новая Трёхгорка, ул. Кутузовская, 9"
Gvarneri,"+7 (962) 907-31-38, +7 (963) 968-33-29","Луговая ул., 1, рабочий посёлок Новоивановское"
SofaClub. Мягкая мебель,+7 (999) 555-61-41,"Москва, Фрунзенская наб., 32"
Биогран,+7 (499) 392-00-84,"Киевское ш., вл. 2"
Производственная компания Модуль,"+7 (927) 370-22-22, +7 (937) 430-60-06","117545, Варшавское ш., 129, корп. 2"
Новейшие русские технологии,+7 (495) 505-07-29,"121596, ул. Горбунова, 2"
Lex-style,"+7 (495) 545-42-24, +7 (926) 608-77-65","117519, Кировоградская ул., 15"
Семицвет,"+7 (495) 934-79-94, +7 (903) 663-86-26","119618, ул. 50 лет Октября, 5, корп. 1"
Салон Арфа мебель,"+7 (985) 123-55-11, +7 (926) 522-29-74","Россия, Москва, улица Ивана Франко, 38к1, магазин Лента, 2 эт."
Студия кухни Метр,+7 (903) 189-66-99,"Москва, Мичуринский просп., 16"
Кухни Руссини,"+7 (495) 201-53-83, +7 (925) 268-36-93","117342, ул. Обручева, 34/63с1"
Хаус-Делюкс,"+7 (926) 511-22-97, +7 (499) 409-53-41, +7 (499) 709-57-81","161, д. Вырубово"
Eclettico.ru,+7 (916) 459-99-92,"Москва, Смоленский бул., 22/14"
Умные кухни,+7 (495) 642-41-71,"Россия, Москва, Севастопольский проспект, 51"
Мебель Тэка,+7 (495) 741-85-56,"Москва, Нахимовский просп., 24"
Декор решетки,+7 (495) 504-74-24,"Москва, Нахимовский просп., 24"
КБМТ-Мебель,+7 (915) 466-00-60,"Ильинское ш., 14, корп. 1, Красногорск"
Купе & гардеробные,"+7 (495) 961-15-07, +7 (903) 961-15-07","143401, Павшинский бул., 1, Красногорск"
Роникон,+7 (926) 320-83-80,"Москва, улица Героев Панфиловцев, 1"
Ms мебель,"+7 (926) 479-80-75, +7 (926) 546-41-21","Россия, Москва, бульвар Яна Райниса, 8, эт. цокольный"
Нива Мебель,"+7 (495) 120-30-24, +7 (916) 671-82-70, +7 (916) 686-19-46","125459, ул. Фабрициуса, 37, стр. 2"
Premium-shkaf. su,+7 (495) 133-92-76,"125362, ул. Свободы, 29"
Order Мебель,+7 (495) 542-27-68,"Россия, Москва, улица Свободы, 29, ТЦ Мебель России"
Ливра,+7 (495) 155-45-48,"Москва, бульвар Яна Райниса, 1"
Первый магазин Доброй Мебели,"8 (800) 505-36-97, +7 (985) 760-42-32, +7 (495) 760-42-32","Волоколамское ш., 71"
Foust Interior,+7 (495) 369-02-06,"Россия, Москва, набережная Новикова-Прибоя, 10a"
МосМебельПлюс,"+7 (495) 255-20-32, +7 (495) 256-28-18, +7 (925) 597-72-99","Россия, Москва, Сходненская улица, 35к1, эт. 3"
Мебель Бос,"+7 (495) 229-32-34, +7 (965) 330-69-30, +7 (966) 024-85-92, +7 (966) 024-85-93","Россия, Москва, МКАД, 65-й километр, вл1"
Мебель С,"+7 (499) 709-94-03, +7 (960) 719-93-63","125362, ул. Свободы, 4, стр. 1"
Суперсон,+7 (495) 233-01-78,"МКАД, 66-й километр, вл1, Москва"
Анонс,"+7 (495) 401-96-67, +7 (495) 125-23-87","Московская обл., Красногорск г., ул. Ленина, 2, ТЦ Красный кит"
Экомебель33,"+7 (499) 348-18-00, +7 (499) 348-10-50, +7 (499) 348-17-10, +7 (499) 348-10-70","125464, Волоколамское ш., 142"
Mebelinna,+7 (903) 118-19-00,"Россия, Москва, МКАД, 69-й километр"
Kronne,+7 (915) 370-90-01,"Московская обл., Красногорский р-н, Красногорск, Подмосковный бул., 12"
Ла Туа мебель,+7 (495) 589-58-04,"125362, ул. Свободы, 29"
Мебель AS,+7 (926) 043-90-00,"Россия, Московская область, Красногорск, улица Карбышева, 10к2"
Домоконтроль,+7 (499) 493-50-81,"Россия, город Москва, улица Героев-Панфиловцев, 8"
Фабрика мебели Sit-down.ru,"+7 (499) 638-28-98, +7 (916) 428-44-88, 8 (800) 555-39-28, +7 (812) 425-39-28","Москва, ул. Свободы, 35, стр. 13"
Кухонный салон Кухни АС,+7 (495) 408-43-69,"Московская обл., Одинцовский р-н, Раздоры дер., Рублево-Успенского шоссе, 1-й километр, 1, ТК Одекс"
Патио кухни,"+7 (495) 789-43-41, +7 (495) 988-49-98, +7 (926) 535-04-39","Россия, Москва, Красногорск г., МКАД, 66-й км, ТЦ Твой Дом-1"
Нет названия,Нет номера,Нет адресса
Интернет-магазин Stoliks.ru,+7 (495) 532-59-24,"123592, Неманский пр., 18"
Аланир,+7 (495) 562-68-53,"Железнодорожная ул., 33А, Красногорск"
Офисная-МебельИ-Купить,+7 (495) 637-81-55,"125362, Строительный пр., 7А, корп. 13"
Мебель на заказ,+7 (499) 720-59-56,"125362, ул. Свободы, 29"
Листвагрупп,"+7 (495) 924-24-44, +7 (968) 673-40-40, 8 (800) 550-80-85, +7 (495) 104-57-97, +7 (985) 924-24-44","Москва, Рублевское ш., 151, корп.3, стр. 8"
Диваны Тут!,"+7 (495) 215-07-13, +7 (495) 727-41-67, +7 (499) 638-23-09, +7 (499) 653-55-17","Московская обл., Красногорск г., ул. Международная, 6, ТЦ Твой Дом, эт. 2"
Кухни Медыни,+7 (499) 390-93-75,"Москва, МКАД, 65-й километр, 65-й км, ТЦ Синдика, эт. 2"
Нет названия,Нет номера,Нет адресса
Still-mebel,"+7 (916) 866-57-05, +7 (925) 800-49-26, +7 (925) 883-63-90","Москва, МКАД, 65-й километр, вл1"
Конкорд-Строй,"+7 (495) 726-07-01, +7 (495) 790-36-55","125362, Строительный пр., 7А, корп. 11А"
Система хранения elfa,+7 (968) 377-69-19,"Россия, Москва, МКАД, 65-й километр, ТЦ Синдика, эт. 2, линия 5, пав. 211"
Интера,"+7 (495) 236-85-95, +7 (495) 256-55-86, +7 (495) 256-16-10","125363, Сходненская ул., 35, корп. 1"
Vg Групп,+7 (925) 091-91-51,"Россия, Москва, МКАД, 65-66-й километр, внешняя сторона, ТК Крокус"
Роникон,"+7 (495) 789-43-41, +7 (925) 005-22-60, +7 (495) 789-43-41","Московская область, Красногорск, улица Ленина, 2"
Роникон,+7 (495) 789-43-41,"Россия, Москва, Митинская улица, 36, корп. 1"
Роникон,+7 (903) 751-25-75,"Москва, Пятницкое шоссе, 35"
Роникон,+7 (903) 248-20-07,"Россия, Москва, улица Генерала Белобородова, 30"
Роникон,+7 (901) 578-28-56,"Россия, Москва, Дубравная улица, 44"
Сити кухни,+7 (495) 369-33-38,"ул. Ленина, 2, Красногорск"
Роникон,+7 (925) 474-50-64,"Россия, Московская область, Красногорск, Спасская улица, 1, корп. 1"
КухниСити,+7 (495) 369-33-38,"Москва, МКАД, 65-й километр, 65-й км, 65, вл. 1, ТЦ Синдика"
Мебельная фабрика Премиум,+7 (495) 103-48-88,"Москва, ул. Синявинская, 11"
J. Franco,"+7 (495) 991-92-58, +7 (495) 960-03-73","141700, ул. Бутаково, 4, Химки"
Кис и Лис,+7 (499) 112-46-22,"Россия, Московская область, Химки, микрорайон Сходня, Железнодорожная улица, 8"
Gwinner,+7 (495) 780-33-00,"Московская обл., Химки, ул. Бутаково, 4"
Мебельная мастерская Victoria Mobili,+7 (985) 442-88-99,"Россия, Московская область, Химки, Заводская улица, 2"
Аристо,"+7 (495) 120-50-27, +7 (929) 938-99-26, +7 (915) 386-88-58, +7 (985) 108-81-55","125310, Пятницкое ш., 54, корп. 2, стр. 6"
Lorena,+7 (925) 800-78-21,"141700, ул. Бутаково, 4, Химки"
Мебельная фабрика Маруся Мебель,"+7 (495) 973-71-73, +7 (495) 970-32-70, +7 (901) 517-78-03","Россия, Москва, Ленинградское шоссе, 236"
МДЧ,"+7 (495) 780-33-00, +7 (495) 780-33-00, +7 (495) 229-28-94, +7 (495) 780-33-33, +7 (495) 780-33-33","141700, ул. Бутаково, 4, Химки"
АММА-дизайн,"+7 (495) 220-22-24, +7 (926) 264-81-51","МКАД, 71-й километр, с16, Москва"
Эльпино,+7 (499) 136-55-75,"Россия, Московская область, городской округ Красногорск, поселок Светлые Горы, Пятницкое шоссе, 10-й километр"
Мебель к-студио,"+7 (985) 211-90-55, +7 (495) 211-90-55","Московская обл., Химки, ул. Маяковского, 23"
Bestsborka,+7 (926) 580-68-74,"Московская обл., Красногорский р-н, Путилково дер., ул. Сходненская, 31"
Свободный стиль,"+7 (962) 931-43-83, +7 (962) 949-30-03, +7 (968) 459-36-36","Россия, Москва, МКАД, 71-й километр, с16"
Arshi-Form,+7 (495) 744-04-94,"141700, ул. Бутаково, 4, Химки"
Shkafi kuhni,+7 (495) 227-60-93,"141402, Вашутинское ш., 4, Химки"
Мебельная фабрика ИмперияГранд,"+7 (495) 419-00-12, +7 (991) 100-41-52","141401, Рабочая ул., 1, Химки"
Овертом,+7 (495) 960-49-09,"141402, Вашутинское ш., 4Д, Химки"
Woodeez,+7 (925) 859-42-02,"125476, ул. Василия Петушкова, 3, корп. 3"
Мягкая мебель Theca из Дании,+7 (495) 921-99-41,"Московская обл., Химки, ул. Бутаково, 4"
Кухни и шкафы купе на заказ,"+7 (495) 998-99-03, +7 (985) 998-99-03","Россия, Москва, Планерная улица, 7"
American Furniture,+7 (915) 308-32-08,"Московская обл., Химки г., ул. Бутаково, 4, ТК Гранд 2, эт. 4"
КомплектСтрой+,+7 (495) 946-60-95,"Москва, Куркинское ш., 30, оф. 9"
Мебель из массива,+7 (968) 054-64-47,"Москва, ул. Вилиса Лациса, 42"
МультиМебель,"+7 (906) 799-62-50, +7 (495) 151-80-12, +7 (985) 727-68-44, +7 (495) 727-68-44","141700, ул. Бутаково, 4, Химки"
Салон ИнтерьеровЪ,"+7 (495) 998-91-58, +7 (495) 410-20-42","Россия, Московская область, городской округ Красногорск, поселок Отрадное, квартал Микрогород в лесу, Лесная улица, 16"
Эсконти,"+7 (968) 569-62-48, +7 (499) 390-44-39","108811, ул. Бианки, 12, корп. 1"
Кондор,"+7 (499) 404-07-66, +7 (49336) 2-25-25, +7 (49336) 2-50-46","Москва, 1a"
Das Studio Дас Штудио,+7 (977) 986-60-72,"Москва, Тишинская пл., 1"
Мебельяни. РУ,+7 (495) 203-00-08,город Москва
Нет названия,Нет номера,Нет адресса
GameCatcher,+7 (495) 177-19-21,"127427, ул. Академика Королёва, 21, стр. 3"
Магазин мебели,+7 (916) 553-05-58,"Москва, ул. Коптевская, 22"
Интернет-магазин в машинке,"+7 (495) 005-52-41, +7 (911) 774-29-93","109469, Братиславская ул., 26"
KitchenMart,+7 (495) 777-36-72,"123112, Пресненская наб., 12"
Распил ДСП и МДФ,+7 (495) 797-00-51,"Москва, Волоколамское ш., 1"
Савели,"+7 (499) 390-83-20, +7 (925) 348-58-68","Москва, Дмитровское ш., 58"
Onsettee,+7 (905) 523-30-07,Москва
Нет названия,Нет номера,Нет адресса
УютКухни,"+7 (495) 648-84-75, +7 (901) 785-42-34, +7 (901) 786-31-74, +7 (926) 230-67-40","Москва, Кронштадтский бул., 14, стр. 3"
Интернет-магазин мебели РусФурн,+7 (499) 393-32-92,Москва
Студия дизайна Design Rise,"+7 (495) 761-37-36, +7 (916) 320-62-03","Москва, ул. Антонова-Овсеенко, 15, стр. 4, Оф. 205"
Vernov,+7 (495) 409-29-10,"Москва, ул. Берзарина, 30"
ТНТ,+7 (499) 728-41-10,"Россия, Москва, улица Маршала Рыбалко, 9"
Интернет-магазин Justo,+7 (495) 223-35-23,Москва
MebelCraft,+7 (495) 795-10-98,"Москва, Арбатская пл., 7"
Эксклюзивная мебель из можжевельника,+7 (968) 054-64-47,"Россия, Москва, 2-й Хорошёвский проезд, 7, ТЦ Красная Пресня, ряд 1, пав. 11"
Мастерская элитной мебели Мебель Продакшн,"+7 (495) 760-82-49, +7 (916) 385-35-65","127287, 2-я Хуторская ул., 34"
Мебель для кухни,+7 (926) 855-36-36,"125362, ул. Свободы, 35, стр. 3"
Диван Сити,"8 (800) 333-60-78, +7 (499) 322-90-89","Москва, ул. Сущёвский Вал, 43, стр. 2"
Irfa,+7 (985) 220-97-16,Москва
IT-Deco,+7 (926) 918-19-00,"Большая Филёвская ул., 1"
ДжиПи-Декор,+7 (495) 120-01-65,"117335, ул. Вавилова, 69/75"
"Интернет-магазин О, Матрас!","8 (800) 333-72-95, +7 (499) 955-49-83","Москва, ул. Селезнёвская, 11а"
Арт-Массив,+7 (495) 720-86-48,"Москва, ул. Добролюбова, 3"
Ресстрой,+7 (903) 184-58-44,"127427, ул. Академика Королёва, 21"
Мебельная мастерская Loffi,+7 (495) 155-12-58,"Россия, Москва, Мантулинская улица, 2"
Details,+7 (499) 755-68-00,"Москва, ул. Большая Бронная, 23, эт. 2, оф. 221"
Магазин Оцелот,"+7 (925) 594-45-61, +7 (495) 664-56-71","Москва, Алтуфьевское ш., 8"
Интернет-магазин дверей для шкафов-купе Диверон,+7 (965) 180-19-83,"125009, Калашный пер., 5"
СтальГрад,+7 (495) 980-90-94,"125438, Михалковская ул., 63Б, стр. 1"
BenchGroup,+7 (495) 737-95-71,"Москва, ул. Большая Новодмитровская, 36, стр. 9"
Аристо,"+7 (916) 712-02-62, +7 (965) 131-56-35","125212, Кронштадтский бул., 14"
BirBor,+7 (925) 258-74-12,"119121, Смоленская ул., 7"
Directoria,+7 (495) 755-77-07,"Москва, ул. Сущёвский Вал, 16, корп.1"
Кухни24,+7 (495) 741-87-73,"Москва, ул. Линии Октябрьской Железной Дороги, 1"
Bernulli-daniil.com,+7 (926) 838-59-49,"127018, ул. Сущёвский Вал, 9"
Столярные работы,+7 (495) 280-18-12,"123022, ул. 1905 года, 7, стр. 1"
Нордисса,+7 (921) 252-29-29,"125284, Беговой пр., 9, стр. 2"
Столы трансформеры,+7 (495) 797-00-51,"Москва, Волоколамское ш., 1"
Стилькупе,+7 (495) 212-09-70,"127051, 1-й Колобовский пер., 11"
Ремонт и перетяжка мебели,"+7 (495) 664-41-24, +7 (915) 115-31-11, +7 (925) 902-05-09, +7 (968) 001-77-88","Москва, ул. Прянишникова, 19а, стр. 2"
Патио кухни,"+7 (495) 789-43-41, +7 (495) 988-49-98","Москва, просп. Маршала Жукова, 52, эт. 2"
Bo Tree,"+7 (915) 425-80-25, +7 (909) 665-28-32","125438, Михалковская ул., 48, стр. 44"
МПО мебель,"+7 (495) 518-53-00, +7 (499) 755-50-50","Москва, Малый Гнездниковский пер., 12, стр. 4"
WoodCraftStudio,+7 (495) 135-22-89,"125167, пр. Аэропорта, 8, стр. 9"
